season,driver_id,salary
2019,giovinazzi,230000.0
2019,grosjean,1800000.0
2019,hamilton,57000000.0
2019,hulkenberg,4500000.0
2019,kevin_magnussen,1200000.0
2019,kubica,570000.0
2019,kvyat,300000.0
2019,leclerc,3500000.0
2019,max_verstappen,13500000.0
2019,norris,260000.0
2019,perez,3500000.0
2019,raikkonen,4500000.0
2019,ricciardo,17000000.0
2019,russell,180000.0
2019,sainz,3300000.0
2019,stroll,1200000.0
2019,vettel,45000000.0
2020,aitken,None
2020,albon,32000000.0
2020,bottas,15000000.0
2020,bottas,15000000.0
2020,gasly,2400000.0
2020,giovinazzi,350000.0
2020,grosjean,3200000.0
2020,hamilton,76000000.0
2020,kevin_magnussen,3200000.0
2020,kvyat,2400000.0
2020,latifi,1200000.0
2020,leclerc,15000000.0
2020,max_verstappen,26000000.0
2020,norris,2400000.0
2020,ocon,6000000.0
2020,perez,6000000.0
2020,pietro_fittipaldi,None
2020,raikkonen,10000000.0
2020,ricciardo,32000000.0
2020,russell,1200000.0
2020,sainz,7000000.0
2020,stroll,2400000.0
2020,vettel,57000000.0
2021,alonso,25000000.0
2021,bottas,10000000.0
2021,bottas,10000000.0
2021,gasly,5000000.0
2021,giovinazzi,1000000.0
2021,hamilton,55000000.0
2021,latifi,1000000.0
2021,leclerc,12000000.0
2021,max_verstappen,25000000.0
2021,mazepin,1000000.0
2021,mick_schumacher,1000000.0
2021,norris,3000000.0
2021,ocon,5000000.0
2021,perez,5000000.0
2021,raikkonen,10000000.0
2021,ricciardo,10000000.0
2021,russell,1000000.0
2021,sainz,8000000.0
2021,stroll,1915000.0
2021,tsunoda,500000.0
2021,vettel,15000000.0
2022,albon,2000000.0
2022,alonso,20000000.0
2022,bottas,10000000.0
2022,bottas,10000000.0
2022,gasly,5000000.0
2022,hamilton,40000000.0
2022,kevin_magnussen,6000000.0
2022,latifi,1000000.0
2022,leclerc,12000000.0
2022,max_verstappen,25000000.0
2022,mick_schumacher,1000000.0
2022,norris,20000000.0
2022,ocon,5000000.0
2022,perez,8000000.0
2022,ricciardo,15000000.0
2022,russell,5000000.0
2022,sainz,10000000.0
2022,stroll,10000000.0
2022,tsunoda,750000.0
2022,vettel,15000000.0
2022,zhou,1000000.0
