Season,circuit_id,constructor_id,driver_id,Laps,Race time,Points,Rank
2010,shanghai,toro_rosso,alguersuari,56.0,+71.416s,0.0,13
2010,shanghai,lotus_racing,kovalainen,55.0,+1 lap,0.0,14
2010,shanghai,williams,hulkenberg,55.0,+1 lap,0.0,15
2010,shanghai,hrt,bruno_senna,54.0,+2 laps,0.0,16
2010,shanghai,hrt,chandhok,52.0,+4 laps,0.0,17
2010,shanghai,lotus_racing,trulli,26.0,DNF,0.0,NC
2010,shanghai,virgin,grassi,8.0,DNF,0.0,NC
2010,shanghai,sauber,rosa,7.0,DNF,0.0,NC
2010,shanghai,toro_rosso,buemi,0.0,DNF,0.0,NC
2010,shanghai,sauber,kobayashi,0.0,DNF,0.0,NC
2010,shanghai,force_india,liuzzi,0.0,DNF,0.0,NC
2010,shanghai,virgin,glock,,DNS,0.0,NC
2010,catalunya,renault,webber,66.0,1:35:44.101,25.0,1
2010,catalunya,ferrari,alonso,66.0,+24.065s,18.0,2
2010,catalunya,renault,vettel,66.0,+51.338s,15.0,3
2010,catalunya,mercedes,michael_schumacher,66.0,+62.195s,12.0,4
2010,catalunya,mclaren,button,66.0,+63.728s,10.0,5
2010,catalunya,ferrari,massa,66.0,+65.767s,8.0,6
2010,catalunya,force_india,sutil,66.0,+72.941s,6.0,7
2010,catalunya,renault,kubica,66.0,+73.677s,4.0,8
2010,catalunya,williams,barrichello,65.0,+1 lap,2.0,9
2010,catalunya,toro_rosso,alguersuari,65.0,+1 lap,1.0,10
2010,catalunya,renault,petrov,65.0,+1 lap,0.0,11
2010,catalunya,sauber,kobayashi,65.0,+1 lap,0.0,12
2010,catalunya,mercedes,rosberg,65.0,+1 lap,0.0,13
2010,catalunya,mclaren,hamilton,64.0,DNF,0.0,14
2010,catalunya,force_india,liuzzi,64.0,DNF,0.0,15
2010,catalunya,williams,hulkenberg,64.0,+2 laps,0.0,16
2010,catalunya,lotus_racing,trulli,63.0,+3 laps,0.0,17
2010,catalunya,virgin,glock,63.0,+3 laps,0.0,18
2010,catalunya,virgin,grassi,62.0,+4 laps,0.0,19
2010,catalunya,toro_rosso,buemi,42.0,DNF,0.0,NC
2010,catalunya,hrt,chandhok,27.0,DNF,0.0,NC
2010,catalunya,sauber,rosa,18.0,DNF,0.0,NC
2010,catalunya,hrt,bruno_senna,0.0,DNF,0.0,NC
2010,catalunya,lotus_racing,kovalainen,,DNS,0.0,NC
2010,monaco,renault,webber,78.0,1:50:13.355,25.0,1
2010,monaco,renault,vettel,78.0,+0.448s,18.0,2
2010,monaco,renault,kubica,78.0,+1.675s,15.0,3
2010,monaco,ferrari,massa,78.0,+2.666s,12.0,4
2010,monaco,mclaren,hamilton,78.0,+4.363s,10.0,5
2010,monaco,ferrari,alonso,78.0,+6.341s,8.0,6
2010,monaco,mercedes,rosberg,78.0,+6.651s,6.0,7
2010,monaco,force_india,sutil,78.0,+6.970s,4.0,8
2010,monaco,force_india,liuzzi,78.0,+7.305s,2.0,9
2010,monaco,toro_rosso,buemi,78.0,+8.199s,1.0,10
2010,monaco,toro_rosso,alguersuari,78.0,+9.135s,0.0,11
2010,monaco,mercedes,michael_schumacher,78.0,+25.712s,0.0,12
2010,monaco,renault,petrov,73.0,DNF,0.0,13
2010,monaco,hrt,chandhok,70.0,DNF,0.0,14
2010,monaco,lotus_racing,trulli,70.0,DNF,0.0,15
2010,monaco,lotus_racing,kovalainen,58.0,DNF,0.0,NC
2010,monaco,hrt,bruno_senna,58.0,DNF,0.0,NC
2010,monaco,williams,barrichello,30.0,DNF,0.0,NC
2010,monaco,sauber,kobayashi,26.0,DNF,0.0,NC
2010,monaco,virgin,grassi,25.0,DNF,0.0,NC
2010,monaco,virgin,glock,22.0,DNF,0.0,NC
2010,monaco,sauber,rosa,21.0,DNF,0.0,NC
2010,monaco,mclaren,button,2.0,DNF,0.0,NC
2010,monaco,williams,hulkenberg,0.0,DNF,0.0,NC
2010,istanbul,mclaren,hamilton,58.0,1:28:47.620,25.0,1
2010,istanbul,mclaren,button,58.0,+2.645s,18.0,2
2010,istanbul,renault,webber,58.0,+24.285s,15.0,3
2010,istanbul,mercedes,michael_schumacher,58.0,+31.110s,12.0,4
2010,istanbul,mercedes,rosberg,58.0,+32.266s,10.0,5
2010,istanbul,renault,kubica,58.0,+32.824s,8.0,6
2010,istanbul,ferrari,massa,58.0,+36.635s,6.0,7
2010,istanbul,ferrari,alonso,58.0,+46.544s,4.0,8
2010,istanbul,force_india,sutil,58.0,+49.029s,2.0,9
2010,istanbul,sauber,kobayashi,58.0,+65.650s,1.0,10
2010,istanbul,sauber,rosa,58.0,+65.944s,0.0,11
2010,istanbul,toro_rosso,alguersuari,58.0,+67.800s,0.0,12
2010,istanbul,force_india,liuzzi,57.0,+1 lap,0.0,13
2010,istanbul,williams,barrichello,57.0,+1 lap,0.0,14
2010,istanbul,renault,petrov,57.0,+1 lap,0.0,15
2010,istanbul,toro_rosso,buemi,57.0,+1 lap,0.0,16
2010,istanbul,williams,hulkenberg,57.0,+1 lap,0.0,17
2010,istanbul,virgin,glock,55.0,+3 laps,0.0,18
2010,istanbul,virgin,grassi,55.0,+3 laps,0.0,19
2010,istanbul,hrt,chandhok,52.0,DNF,0.0,20
2010,istanbul,hrt,bruno_senna,46.0,DNF,0.0,NC
2010,istanbul,renault,vettel,39.0,DNF,0.0,NC
2010,istanbul,lotus_racing,kovalainen,33.0,DNF,0.0,NC
2010,istanbul,lotus_racing,trulli,32.0,DNF,0.0,NC
2010,villeneuve,mclaren,hamilton,70.0,1:33:53.456,25.0,1
2010,villeneuve,mclaren,button,70.0,+2.254s,18.0,2
2010,villeneuve,ferrari,alonso,70.0,+9.214s,15.0,3
2010,villeneuve,renault,vettel,70.0,+37.817s,12.0,4
2010,villeneuve,renault,webber,70.0,+39.291s,10.0,5
2010,villeneuve,mercedes,rosberg,70.0,+56.084s,8.0,6
2010,villeneuve,renault,kubica,70.0,+57.300s,6.0,7
2010,villeneuve,toro_rosso,buemi,69.0,+1 lap,4.0,8
2010,villeneuve,force_india,liuzzi,69.0,+1 lap,2.0,9
2010,villeneuve,force_india,sutil,69.0,+1 lap,1.0,10
2010,villeneuve,mercedes,michael_schumacher,69.0,+1 lap,0.0,11
2010,villeneuve,toro_rosso,alguersuari,69.0,+1 lap,0.0,12
2010,villeneuve,williams,hulkenberg,69.0,+1 lap,0.0,13
2010,villeneuve,williams,barrichello,69.0,+1 lap,0.0,14
2010,villeneuve,ferrari,massa,69.0,+1 lap,0.0,15
2010,villeneuve,lotus_racing,kovalainen,68.0,+2 laps,0.0,16
2010,villeneuve,renault,petrov,68.0,+2 laps,0.0,17
2010,villeneuve,hrt,chandhok,66.0,+4 laps,0.0,18
2010,villeneuve,virgin,grassi,65.0,+5 laps,0.0,19
2010,villeneuve,virgin,glock,50.0,DNF,0.0,NC
2010,villeneuve,lotus_racing,trulli,42.0,DNF,0.0,NC
2010,villeneuve,sauber,rosa,30.0,DNF,0.0,NC
2010,villeneuve,hrt,bruno_senna,13.0,DNF,0.0,NC
2010,villeneuve,sauber,kobayashi,1.0,DNF,0.0,NC
2010,valencia,renault,vettel,57.0,1:40:29.571,25.0,1
2010,valencia,mclaren,hamilton,57.0,+5.042s,18.0,2
2010,valencia,mclaren,button,57.0,+12.658s,15.0,3
2010,valencia,williams,barrichello,57.0,+25.627s,12.0,4
2010,valencia,renault,kubica,57.0,+27.122s,10.0,5
2010,valencia,force_india,sutil,57.0,+30.168s,8.0,6
2010,valencia,sauber,kobayashi,57.0,+30.965s,6.0,7
2010,valencia,ferrari,alonso,57.0,+32.809s,4.0,8
2010,valencia,toro_rosso,buemi,57.0,+36.299s,2.0,9
2010,valencia,mercedes,rosberg,57.0,+44.382s,1.0,10
2010,valencia,ferrari,massa,57.0,+46.621s,0.0,11
2010,valencia,sauber,rosa,57.0,+47.414s,0.0,12
2010,valencia,toro_rosso,alguersuari,57.0,+48.239s,0.0,13
2010,valencia,renault,petrov,57.0,+48.287s,0.0,14
2010,valencia,mercedes,michael_schumacher,57.0,+48.826s,0.0,15
2010,valencia,force_india,liuzzi,57.0,+50.890s,0.0,16
2010,valencia,virgin,grassi,56.0,+1 lap,0.0,17
2010,valencia,hrt,chandhok,55.0,+2 laps,0.0,18
2010,valencia,virgin,glock,55.0,+2 laps,0.0,19
2010,valencia,hrt,bruno_senna,55.0,+2 laps,0.0,20
2010,valencia,lotus_racing,trulli,53.0,+4 laps,0.0,21
2010,valencia,williams,hulkenberg,49.0,DNF,0.0,NC
2010,valencia,lotus_racing,kovalainen,8.0,DNF,0.0,NC
2010,valencia,renault,webber,8.0,DNF,0.0,NC
2010,silverstone,renault,webber,52.0,1:24:38.200,25.0,1
2010,silverstone,mclaren,hamilton,52.0,+1.360s,18.0,2
2010,silverstone,mercedes,rosberg,52.0,+21.307s,15.0,3
2010,silverstone,mclaren,button,52.0,+21.986s,12.0,4
2010,silverstone,williams,barrichello,52.0,+31.456s,10.0,5
2010,silverstone,sauber,kobayashi,52.0,+32.171s,8.0,6
2010,silverstone,renault,vettel,52.0,+36.734s,6.0,7
2010,silverstone,force_india,sutil,52.0,+40.932s,4.0,8
2010,silverstone,mercedes,michael_schumacher,52.0,+41.599s,2.0,9
2010,silverstone,williams,hulkenberg,52.0,+42.012s,1.0,10
2010,silverstone,force_india,liuzzi,52.0,+42.459s,0.0,11
2010,silverstone,toro_rosso,buemi,52.0,+47.627s,0.0,12
2010,silverstone,renault,petrov,52.0,+59.374s,0.0,13
2010,silverstone,ferrari,alonso,52.0,+62.385s,0.0,14
2010,silverstone,ferrari,massa,52.0,+67.489s,0.0,15
2010,silverstone,lotus_racing,trulli,51.0,+1 lap,0.0,16
2010,silverstone,lotus_racing,kovalainen,51.0,+1 lap,0.0,17
2010,silverstone,virgin,glock,50.0,+2 laps,0.0,18
2010,silverstone,hrt,chandhok,50.0,+2 laps,0.0,19
2010,silverstone,hrt,yamamoto,50.0,+2 laps,0.0,20
2010,silverstone,toro_rosso,alguersuari,44.0,DNF,0.0,NC
2010,silverstone,sauber,rosa,29.0,DNF,0.0,NC
2010,silverstone,renault,kubica,19.0,DNF,0.0,NC
2010,silverstone,virgin,grassi,9.0,DNF,0.0,NC
2010,hockenheimring,ferrari,alonso,67.0,1:27:38.864,25.0,1
2010,hockenheimring,ferrari,massa,67.0,+4.196s,18.0,2
2010,hockenheimring,renault,vettel,67.0,+5.121s,15.0,3
2010,hockenheimring,mclaren,hamilton,67.0,+26.896s,12.0,4
2010,hockenheimring,mclaren,button,67.0,+29.482s,10.0,5
2010,hockenheimring,renault,webber,67.0,+43.606s,8.0,6
2010,hockenheimring,renault,kubica,66.0,+1 lap,6.0,7
2010,hockenheimring,mercedes,rosberg,66.0,+1 lap,4.0,8
2010,hockenheimring,mercedes,michael_schumacher,66.0,+1 lap,2.0,9
2010,hockenheimring,renault,petrov,66.0,+1 lap,1.0,10
2010,hockenheimring,sauber,kobayashi,66.0,+1 lap,0.0,11
2010,hockenheimring,williams,barrichello,66.0,+1 lap,0.0,12
2010,hockenheimring,williams,hulkenberg,66.0,+1 lap,0.0,13
2010,hockenheimring,sauber,rosa,66.0,+1 lap,0.0,14
2010,hockenheimring,toro_rosso,alguersuari,66.0,+1 lap,0.0,15
2010,hockenheimring,force_india,liuzzi,65.0,+2 laps,0.0,16
2010,hockenheimring,force_india,sutil,65.0,+2 laps,0.0,17
2010,hockenheimring,virgin,glock,64.0,+3 laps,0.0,18
2010,hockenheimring,hrt,bruno_senna,63.0,+4 laps,0.0,19
2010,hockenheimring,lotus_racing,kovalainen,56.0,DNF,0.0,NC
2010,hockenheimring,virgin,grassi,50.0,DNF,0.0,NC
2010,hockenheimring,hrt,yamamoto,19.0,DNF,0.0,NC
2010,hockenheimring,lotus_racing,trulli,3.0,DNF,0.0,NC
2010,hockenheimring,toro_rosso,buemi,1.0,DNF,0.0,NC
2010,hungaroring,renault,webber,70.0,1:41:05.571,25.0,1
2010,hungaroring,ferrari,alonso,70.0,+17.821s,18.0,2
2010,hungaroring,renault,vettel,70.0,+19.252s,15.0,3
2010,hungaroring,ferrari,massa,70.0,+27.474s,12.0,4
2010,hungaroring,renault,petrov,70.0,+73.192s,10.0,5
2010,hungaroring,williams,hulkenberg,70.0,+76.723s,8.0,6
2010,hungaroring,sauber,rosa,69.0,+1 lap,6.0,7
2010,hungaroring,mclaren,button,69.0,+1 lap,4.0,8
2010,hungaroring,sauber,kobayashi,69.0,+1 lap,2.0,9
2010,hungaroring,williams,barrichello,69.0,+1 lap,1.0,10
