season,constructor_id,Engine Manufacturer,Engine,Displacement,Cylinders,Valves,constructor_country_of_origin
2017,toro_rosso,Renault,Renault R.E.17,1600,6,24,Italy
2017,williams,Mercedes,Mercedes M08 EQ Power+,1600,6,24,United Kingdom
2018,ferrari,Ferrari,Ferrari Tipo 062 EVO,1600,6,24,Italy
2018,force_india,Mercedes,Mercedes M09 EQ Power+,1600,6,24,India
2018,haas,Ferrari,Ferrari Tipo 062 EVO,1600,6,24,USA
2018,mclaren,Renault,Renault R.E.18,1600,6,24,United Kingdom
2018,mercedes,Mercedes,Mercedes M09 EQ Power+,1600,6,24,Germany
2018,red_bull,Renault,TAG Heuer (Renault),1600,6,24,Austria
2018,renault,Renault,Renault R.E.18,1600,6,24,France
2018,sauber,Ferrari,Ferrari Tipo 062 EVO,1600,6,24,Switzerland
2018,toro_rosso,Honda,Honda RA618H,1600,6,24,Italy
2018,williams,Mercedes,Mercedes M09 EQ Power+,1600,6,24,United Kingdom
2019,alfa,Ferrari,Ferrari Tipo 064,1600,6,24,Switzerland
2019,ferrari,Ferrari,Ferrari Tipo 064,1600,6,24,Italy
2019,haas,Ferrari,Ferrari Tipo 064,1600,6,24,USA
2019,mclaren,Renault,Renault E Tech 19,1600,6,24,United Kingdom
2019,mercedes,Mercedes,Mercedes M10 EQ Power+,1600,6,24,Germany
2019,racing_point,Mercedes,Mercedes M10 EQ Power+,1600,6,24,United Kingdom
2019,red_bull,Honda,Honda RA619H,1600,6,24,Austria
2019,renault,Renault,Renault E Tech 19,1600,6,24,France
2019,toro_rosso,Honda,Honda RA619H,1600,6,24,Italy
2019,williams,Mercedes,Mercedes M10 EQ Power+,1600,6,24,United Kingdom
2020,alfa,Ferrari,Ferrari Tipo 065,1600,6,24,Switzerland
2020,alphatauri,Honda,Honda RA620H,1600,6,24,Italy
2020,ferrari,Ferrari,Ferrari Tipo 065,1600,6,24,Italy
2020,haas,Ferrari,Ferrari Tipo 065,1600,6,24,USA
2020,mclaren,Renault,Renault E Tech 20,1600,6,24,United Kingdom
2020,mercedes,Mercedes,Mercedes M10 EQ Performance,1600,6,24,Germany
2020,racing_point,Mercedes,Mercedes M10 EQ Performance,1600,6,24,United Kingdom
2020,red_bull,Honda,Honda RA620H,1600,6,24,Austria
2020,renault,Renault,Renault E Tech 20,1600,6,24,France
2020,williams,Mercedes,Mercedes M10 EQ Performance,1600,6,24,United Kingdom
2021,alfa,Ferrari,Ferrari Tipo 066,1600,6,24,Switzerland
2021,alphatauri,Honda,Honda RA621H,1600,6,24,Italy
2021,alpine,Renault,Renault E Tech 21,1600,6,24,France
2021,aston_martin,Mercedes,Mercedes M12 E Performance,1600,6,24,United Kingdom
2021,ferrari,Ferrari,Ferrari Tipo 066,1600,6,24,Italy
2021,haas,Ferrari,Ferrari Tipo 066,1600,6,24,USA
2021,mclaren,Mercedes,Mercedes M12 E Performance,1600,6,24,United Kingdom
2021,mercedes,Mercedes,Mercedes M12 E Performance,1600,6,24,Germany
2021,red_bull,Honda,Honda RA621H,1600,6,24,Austria
2021,williams,Mercedes,Mercedes M12 E Performance,1600,6,24,United Kingdom
2022,alfa,Ferrari,Ferrari Tipo 066/7,1600,6,24,Switzerland
2022,alphatauri,Honda RBPT,Honda Red Bull RBPTH001,1600,6,24,Italy
2022,alpine,Renault,Renault E Tech RE22,1600,6,24,France
2022,aston_martin,Mercedes,Mercedes M13 E Performance,1600,6,24,United Kingdom
2022,ferrari,Ferrari,Ferrari Tipo 066/7,1600,6,24,Italy
2022,haas,Ferrari,Ferrari Tipo 066/7,1600,6,24,USA
2022,mclaren,Mercedes,Mercedes M13 E Performance,1600,6,24,United Kingdom
2022,mercedes,Mercedes,Mercedes M13 E Performance,1600,6,24,Germany
2022,red_bull,Honda RBPT,Honda Red Bull RBPTH001,1600,6,24,Austria
2022,williams,Mercedes,Mercedes M13 E Performance,1600,6,24,United Kingdom
