season,circuit_id,constructor_id,driver_id,Laps,Points,Rank,round,Points Before GP,Finished,grid,constructor_country_of_origin,updated_wins,updated_poles,year_of_birth,height (cm),weight (kg),driver_country_of_origin,updated_driver_wins,updated_driver_poles,Engine Manufacturer,Engine,Displacement,Cylinders,Valves,driver_age,circuit_country,configuration,length (km),number_of_corners,drs_zones,driver_home_race,constructor_home_race,weather_category_Clear,weather_category_Cloudy,weather_category_Rainy,weather_category_Warm,weather_category_Windy,salary
2010,bahrain,sauber,kobayashi,11,0.0,22,1,0.0,0,16,Switzerland,1,1,1986,170,57,Japan,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,24,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,665000.0
2010,bahrain,renault,petrov,13,0.0,23,1,0.0,0,17,France,35,51,1984,185,75,Russia,0,0,Renault,Renault RS27-2010,2400,8,32,26,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,532000.0
2010,bahrain,sauber,rosa,28,0.0,24,1,0.0,0,14,Switzerland,1,1,1971,177,74,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,39,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,665000.0
2010,albert_park,mclaren,button,58,25.0,1,2,6.0,1,4,United Kingdom,165,145,1980,182,72,United Kingdom,8,7,Mercedes,Mercedes FO 108X,2398,8,32,30,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,12000000.0
2010,albert_park,renault,kubica,58,18.0,2,2,0.0,1,9,France,35,51,1984,183,72,Poland,1,1,Renault,Renault RS27-2010,2400,8,32,26,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,10000000.0
2010,albert_park,ferrari,massa,58,15.0,3,2,18.0,1,5,Italy,211,203,1981,166,59,Brazil,11,15,Ferrari,Ferrari Tipo 056,2398,8,32,29,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,18620000.0
2010,albert_park,ferrari,alonso,58,12.0,4,2,25.0,1,3,Italy,211,203,1981,171,68,Spain,22,18,Ferrari,Ferrari Tipo 056,2398,8,32,29,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,40000000.0
2010,albert_park,mercedes,rosberg,58,10.0,5,2,10.0,1,6,Germany,9,8,1985,178,71,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,25,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,10640000.0
2010,albert_park,mclaren,hamilton,58,8.0,6,2,15.0,1,11,United Kingdom,165,145,1985,175,66,United Kingdom,11,17,Mercedes,Mercedes FO 108X,2398,8,32,25,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,21280000.0
2010,albert_park,force_india,liuzzi,58,6.0,7,2,2.0,1,13,India,0,1,1980,169,68,Italy,0,0,Mercedes,Mercedes FO 108X,2398,8,32,30,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,266000.0
2010,albert_park,williams,barrichello,58,4.0,8,2,1.0,1,8,United Kingdom,113,125,1972,172,77,Brazil,11,14,Cosworth,Cosworth CA2010,2400,8,32,38,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,7315000.0
2010,albert_park,red_bull,webber,58,2.0,9,2,4.0,1,2,Austria,6,6,1976,185,75,Australia,2,1,Renault,Renault RS27-2010,2400,8,32,34,Australia,Street,5.303,14,4,1,0,0,1,0,0,0,5586000.0
2010,albert_park,mercedes,michael_schumacher,58,1.0,10,2,8.0,1,7,Germany,9,8,1969,174,75,Germany,91,68,Mercedes,Mercedes FO 108X,2398,8,32,41,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,10640000.0
2010,albert_park,toro_rosso,alguersuari,58,0.0,11,2,0.0,1,17,Italy,1,1,1990,181,65,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,20,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,532000.0
2010,albert_park,sauber,rosa,58,0.0,12,2,0.0,1,14,Switzerland,1,1,1971,177,74,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,39,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,665000.0
2010,albert_park,lotus_racing,kovalainen,56,0.0,13,2,0.0,1,19,Malaysia,0,0,1981,172,66,Finland,1,1,Cosworth,Cosworth CA2010,2400,8,32,29,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,2660000.0
2010,albert_park,hrt,bruno_senna,4,0.0,15,2,0.0,0,21,Spain,0,0,1983,180,69,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,27,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,199500.0
2010,albert_park,toro_rosso,buemi,0,0.0,16,2,0.0,0,12,Italy,1,1,1988,172,55,Switzerland,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,22,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,532000.0
2010,albert_park,virgin,glock,41,0.0,17,2,0.0,0,13,United Kingdom,0,0,1982,169,64,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,28,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,1330000.0
2010,albert_park,virgin,grassi,26,0.0,18,2,0.0,0,14,United Kingdom,0,0,1984,179,73,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,26,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,266000.0
2010,albert_park,williams,hulkenberg,0,0.0,19,2,0.0,0,15,United Kingdom,113,125,1987,184,70,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,23,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,931000.0
2010,albert_park,sauber,kobayashi,0,0.0,20,2,0.0,0,16,Switzerland,1,1,1986,170,57,Japan,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,24,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,665000.0
2010,albert_park,renault,petrov,9,0.0,21,2,0.0,0,18,France,35,51,1984,185,75,Russia,0,0,Renault,Renault RS27-2010,2400,8,32,26,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,532000.0
2010,albert_park,force_india,sutil,9,0.0,22,2,0.0,0,10,India,0,1,1983,183,75,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,27,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,266000.0
2010,albert_park,lotus_racing,trulli,0,0.0,23,2,0.0,0,20,Malaysia,0,0,1974,173,60,Italy,1,4,Cosworth,Cosworth CA2010,2400,8,32,36,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,3990000.0
2010,albert_park,red_bull,vettel,25,0.0,24,2,12.0,0,1,Austria,6,7,1987,176,58,Germany,5,7,Renault,Renault RS27-2010,2400,8,32,23,Australia,Street,5.303,14,4,0,0,0,1,0,0,0,4700000.0
2010,sepang,red_bull,vettel,56,25.0,1,3,12.0,1,3,Austria,7,7,1987,176,58,Germany,6,7,Renault,Renault RS27-2010,2400,8,32,23,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,4700000.0
2010,sepang,red_bull,webber,56,18.0,2,3,6.0,1,1,Austria,7,8,1976,185,75,Australia,2,2,Renault,Renault RS27-2010,2400,8,32,34,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,5586000.0
2010,sepang,mercedes,rosberg,56,15.0,3,3,20.0,1,2,Germany,9,8,1985,178,71,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,25,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,10640000.0
2010,sepang,renault,kubica,56,12.0,4,3,18.0,1,6,France,35,51,1984,183,72,Poland,1,1,Renault,Renault RS27-2010,2400,8,32,26,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,10000000.0
2010,sepang,force_india,sutil,56,10.0,5,3,0.0,1,4,India,0,1,1983,183,75,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,27,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,266000.0
2010,sepang,mclaren,hamilton,56,8.0,6,3,23.0,1,20,United Kingdom,165,145,1985,175,66,United Kingdom,11,17,Mercedes,Mercedes FO 108X,2398,8,32,25,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,21280000.0
2010,sepang,ferrari,massa,56,6.0,7,3,33.0,1,21,Italy,211,203,1981,166,59,Brazil,11,15,Ferrari,Ferrari Tipo 056,2398,8,32,29,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,18620000.0
2010,sepang,mclaren,button,56,4.0,8,3,31.0,1,17,United Kingdom,165,145,1980,182,72,United Kingdom,8,7,Mercedes,Mercedes FO 108X,2398,8,32,30,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,12000000.0
2010,sepang,toro_rosso,alguersuari,56,2.0,9,3,0.0,1,14,Italy,1,1,1990,181,65,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,20,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,532000.0
2010,sepang,williams,hulkenberg,56,1.0,10,3,0.0,1,5,United Kingdom,113,125,1987,184,70,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,23,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,931000.0
2010,sepang,toro_rosso,buemi,56,0.0,11,3,0.0,1,13,Italy,1,1,1988,172,55,Switzerland,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,22,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,532000.0
2010,sepang,williams,barrichello,55,0.0,12,3,5.0,1,7,United Kingdom,113,125,1972,172,77,Brazil,11,14,Cosworth,Cosworth CA2010,2400,8,32,38,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,7315000.0
2010,sepang,ferrari,alonso,54,0.0,13,3,37.0,0,19,Italy,211,203,1981,171,68,Spain,22,18,Ferrari,Ferrari Tipo 056,2398,8,32,29,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,40000000.0
2010,sepang,virgin,grassi,53,0.0,14,3,0.0,1,24,United Kingdom,0,0,1984,179,73,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,26,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,266000.0
2010,sepang,hrt,bruno_senna,52,0.0,16,3,0.0,1,23,Spain,0,0,1983,180,69,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,27,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,199500.0
2010,sepang,lotus_racing,trulli,51,0.0,17,3,0.0,1,18,Malaysia,0,0,1974,173,60,Italy,1,4,Cosworth,Cosworth CA2010,2400,8,32,36,Malaysia,Race,5.543,15,1,0,1,0,1,0,0,0,3990000.0
2010,sepang,virgin,glock,2,0.0,18,3,0.0,0,16,United Kingdom,0,0,1982,169,64,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,28,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,1330000.0
2010,sepang,sauber,kobayashi,8,0.0,19,3,0.0,0,9,Switzerland,1,1,1986,170,57,Japan,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,24,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,665000.0
2010,sepang,lotus_racing,kovalainen,46,0.0,20,3,0.0,1,15,Malaysia,0,0,1981,172,66,Finland,1,1,Cosworth,Cosworth CA2010,2400,8,32,29,Malaysia,Race,5.543,15,1,0,1,0,1,0,0,0,2660000.0
2010,sepang,force_india,liuzzi,12,0.0,21,3,8.0,0,10,India,0,1,1980,169,68,Italy,0,0,Mercedes,Mercedes FO 108X,2398,8,32,30,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,266000.0
2010,sepang,mercedes,michael_schumacher,9,0.0,22,3,9.0,0,8,Germany,9,8,1969,174,75,Germany,91,68,Mercedes,Mercedes FO 108X,2398,8,32,41,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,10640000.0
2010,sepang,renault,petrov,32,0.0,23,3,0.0,0,11,France,35,51,1984,185,75,Russia,0,0,Renault,Renault RS27-2010,2400,8,32,26,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,532000.0
2010,sepang,sauber,rosa,0,0.0,24,3,0.0,0,12,Switzerland,1,1,1971,177,74,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,39,Malaysia,Race,5.543,15,1,0,0,0,1,0,0,0,665000.0
2010,shanghai,mclaren,button,56,25.0,1,4,35.0,1,5,United Kingdom,166,145,1980,182,72,United Kingdom,9,7,Mercedes,Mercedes FO 108X,2398,8,32,30,China,Race,5.451,16,2,0,0,0,1,0,0,0,12000000.0
2010,shanghai,mclaren,hamilton,56,18.0,2,4,31.0,1,6,United Kingdom,166,145,1985,175,66,United Kingdom,11,17,Mercedes,Mercedes FO 108X,2398,8,32,25,China,Race,5.451,16,2,0,0,0,1,0,0,0,21280000.0
2010,shanghai,mercedes,rosberg,56,15.0,3,4,35.0,1,4,Germany,9,8,1985,178,71,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,25,China,Race,5.451,16,2,0,0,0,1,0,0,0,10640000.0
2010,shanghai,ferrari,alonso,56,12.0,4,4,37.0,1,3,Italy,211,203,1981,171,68,Spain,22,18,Ferrari,Ferrari Tipo 056,2398,8,32,29,China,Race,5.451,16,2,0,0,0,1,0,0,0,40000000.0
2010,shanghai,renault,kubica,56,10.0,5,4,30.0,1,8,France,35,51,1984,183,72,Poland,1,1,Renault,Renault RS27-2010,2400,8,32,26,China,Race,5.451,16,2,0,0,0,1,0,0,0,10000000.0
2010,shanghai,red_bull,vettel,56,8.0,6,4,37.0,1,1,Austria,7,9,1987,176,58,Germany,6,8,Renault,Renault RS27-2010,2400,8,32,23,China,Race,5.451,16,2,0,0,0,1,0,0,0,4700000.0
2010,shanghai,renault,petrov,56,6.0,7,4,0.0,1,14,France,35,51,1984,185,75,Russia,0,0,Renault,Renault RS27-2010,2400,8,32,26,China,Race,5.451,16,2,0,0,0,1,0,0,0,532000.0
2010,shanghai,red_bull,webber,56,4.0,8,4,24.0,1,2,Austria,7,9,1976,185,75,Australia,2,2,Renault,Renault RS27-2010,2400,8,32,34,China,Race,5.451,16,2,0,0,0,1,0,0,0,5586000.0
2010,shanghai,ferrari,massa,56,2.0,9,4,39.0,1,7,Italy,211,203,1981,166,59,Brazil,11,15,Ferrari,Ferrari Tipo 056,2398,8,32,29,China,Race,5.451,16,2,0,0,0,1,0,0,0,18620000.0
2010,shanghai,mercedes,michael_schumacher,56,1.0,10,4,9.0,1,9,Germany,9,8,1969,174,75,Germany,91,68,Mercedes,Mercedes FO 108X,2398,8,32,41,China,Race,5.451,16,2,0,0,0,1,0,0,0,10640000.0
2010,shanghai,force_india,sutil,56,0.0,11,4,10.0,1,10,India,0,1,1983,183,75,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,27,China,Race,5.451,16,2,0,0,0,1,0,0,0,266000.0
2010,shanghai,williams,barrichello,56,0.0,12,4,5.0,1,11,United Kingdom,113,125,1972,172,77,Brazil,11,14,Cosworth,Cosworth CA2010,2400,8,32,38,China,Race,5.451,16,2,0,0,0,1,0,0,0,7315000.0
2010,shanghai,toro_rosso,alguersuari,56,0.0,13,4,2.0,1,12,Italy,1,1,1990,181,65,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,20,China,Race,5.451,16,2,0,0,0,1,0,0,0,532000.0
2010,shanghai,lotus_racing,kovalainen,55,0.0,14,4,0.0,1,21,Malaysia,0,0,1981,172,66,Finland,1,1,Cosworth,Cosworth CA2010,2400,8,32,29,China,Race,5.451,16,2,0,0,0,1,0,0,0,2660000.0
2010,shanghai,williams,hulkenberg,55,0.0,15,4,1.0,1,16,United Kingdom,113,125,1987,184,70,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,23,China,Race,5.451,16,2,0,0,0,1,0,0,0,931000.0
2010,shanghai,hrt,bruno_senna,54,0.0,16,4,0.0,1,23,Spain,0,0,1983,180,69,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,27,China,Race,5.451,16,2,0,0,0,1,0,0,0,199500.0
2010,shanghai,toro_rosso,buemi,0,0.0,18,4,0.0,0,13,Italy,1,1,1988,172,55,Switzerland,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,22,China,Race,5.451,16,2,0,0,0,1,0,0,0,532000.0
2010,shanghai,virgin,glock,0,0.0,19,4,0.0,0,19,United Kingdom,0,0,1982,169,64,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,28,China,Race,5.451,16,2,0,0,0,1,0,0,0,1330000.0
2010,shanghai,virgin,grassi,8,0.0,20,4,0.0,0,22,United Kingdom,0,0,1984,179,73,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,26,China,Race,5.451,16,2,0,0,0,1,0,0,0,266000.0
2010,shanghai,sauber,kobayashi,0,0.0,21,4,0.0,0,15,Switzerland,1,1,1986,170,57,Japan,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,24,China,Race,5.451,16,2,0,0,0,1,0,0,0,665000.0
2010,shanghai,force_india,liuzzi,0,0.0,22,4,8.0,0,18,India,0,1,1980,169,68,Italy,0,0,Mercedes,Mercedes FO 108X,2398,8,32,30,China,Race,5.451,16,2,0,0,0,1,0,0,0,266000.0
2010,shanghai,sauber,rosa,7,0.0,23,4,0.0,0,17,Switzerland,1,1,1971,177,74,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,39,China,Race,5.451,16,2,0,0,0,1,0,0,0,665000.0
2010,shanghai,lotus_racing,trulli,26,0.0,24,4,0.0,0,20,Malaysia,0,0,1974,173,60,Italy,1,4,Cosworth,Cosworth CA2010,2400,8,32,36,China,Race,5.451,16,2,0,0,0,1,0,0,0,3990000.0
2010,catalunya,red_bull,webber,66,25.0,1,5,28.0,1,1,Austria,8,10,1976,185,75,Australia,3,3,Renault,Renault RS27-2010,2400,8,32,34,Spain,Race,4.657,14,2,0,0,0,1,0,0,0,5586000.0
2010,catalunya,ferrari,alonso,66,18.0,2,5,49.0,1,4,Italy,211,203,1981,171,68,Spain,22,18,Ferrari,Ferrari Tipo 056,2398,8,32,29,Spain,Race,4.657,14,2,1,0,0,1,0,0,0,40000000.0
